team,season,total_games,game_wins,game_losses,total_points,total_firstdowns,rushing_firstdowns,passing_firstdowns,firstdowns_by_penalty,rushing_attempts,total_rushing_yards,rushing_tds,total_passing_yards,passing_attempts,passing_completions,passing_interceptions,passing_tds,offense_plays,offense_total_yards,punts_returned,punt_return_yards,punt_return_tds,kickoff_returns,kickoff_returns_yards,kickoff_returns_tds,total_punts,punts_total_yards,total_interceptions,interception_return_yards,interception_return_tds,fumbles_number,fumbles_lost,total_penalties,penalties_yards,3rd_down_attempts,3rd_down_conversions,4th_down_attempts,4th_down_conversions,redzone_attempts,redzone_scores,field_goals_attempted,field_goals_made,pat_attempts,pats_made,2pt_conversions_attempts,2pt_conversions_made
UofL,2018,12,2,10,237,225,95,114,16,403,1698,18,2533,394,210,15,10,797,4231,13,197,1,44,997,1,70,2798,6,81,0,23,10,101,861,166,59,22,8,36,29,12,10,30,27,0,0
UofL,2017,13,8,5,495,352,157,168,27,495,3186,33,3898,464,277,10,29,959,7084,24,123,0,25,483,0,44,1914,13,230,2,17,11,82,664,181,80,30,19,59,50,20,17,59,58,5,1
UofL,2016,13,9,4,553,325,152,150,23,525,3148,37,3777,436,248,10,32,961,6925,26,211,1,40,825,0,55,2413,15,228,1,30,22,101,919,180,74,16,11,76,63,25,19,69,68,2,1
UofL,2015,13,8,5,373,272,115,136,21,491,2223,23,3186,409,227,15,21,900,5409,30,212,0,31,625,1,70,2791,17,229,1,27,12,97,814,181,69,15,7,58,48,21,15,47,46,0,0
UofL,2014,13,9,4,405,265,116,133,16,511,1855,28,3276,428,237,10,21,939,5131,37,274,0,36,758,1,73,2909,26,310,1,25,16,90,641,199,78,21,11,58,48,19,15,50,50,1,0
UK,2018,13,10,3,346,258,139,96,23,536,2592,27,2099,296,194,10,14,832,4691,15,198,2,26,539,0,60,2687,9,204,1,20,8,79,721,161,64,15,9,38,31,15,9,43,43,1,0
UK,2017,13,7,6,332,242,105,112,25,488,2102,27,2446,330,196,7,10,818,4548,8,112,0,48,1036,0,67,2823,11,90,0,14,8,71,626,168,66,10,6,42,39,28,22,36,36,2,1
UK,2016,13,7,6,390,260,145,96,19,560,3044,30,2419,312,170,12,17,872,5463,16,131,1,39,863,0,61,2335,13,129,1,23,16,66,605,184,72,16,12,42,36,19,16,45,44,4,2
UK,2015,12,5,7,296,222,100,103,19,419,1952,22,2512,397,218,16,10,816,4464,11,81,0,30,653,0,63,2495,11,164,2,13,6,69,676,179,67,19,13,43,36,21,17,35,33,0,0
UK,2014,12,5,7,350,231,105,108,18,444,1838,21,2774,405,228,11,14,849,4612,27,185,0,37,845,0,66,2810,15,309,4,20,4,66,604,183,62,24,10,39,34,27,21,41,41,0,0
